activity,distance,date
total,4.9,2023-04-01
tracker,4.9,2023-04-01
loggedActivities,0.0,2023-04-01
veryActive,0.67,2023-04-01
moderatelyActive,1.61,2023-04-01
lightlyActive,2.61,2023-04-01
sedentaryActive,0.0,2023-04-01
total,5.37,2023-04-02
tracker,5.37,2023-04-02
loggedActivities,0.0,2023-04-02
veryActive,1.83,2023-04-02
moderatelyActive,2.48,2023-04-02
lightlyActive,1.06,2023-04-02
sedentaryActive,0.0,2023-04-02
total,1.95,2023-04-03
tracker,1.95,2023-04-03
loggedActivities,0.0,2023-04-03
veryActive,0.0,2023-04-03
moderatelyActive,0.0,2023-04-03
lightlyActive,1.94,2023-04-03
sedentaryActive,0.0,2023-04-03
total,2.24,2023-04-04
tracker,2.24,2023-04-04
loggedActivities,0.0,2023-04-04
veryActive,0.0,2023-04-04
moderatelyActive,0.0,2023-04-04
lightlyActive,2.24,2023-04-04
sedentaryActive,0.0,2023-04-04
total,3.54,2023-04-05
tracker,3.54,2023-04-05
loggedActivities,0.0,2023-04-05
veryActive,0.22,2023-04-05
moderatelyActive,0.58,2023-04-05
lightlyActive,2.73,2023-04-05
sedentaryActive,0.0,2023-04-05
total,5.41,2023-04-06
tracker,5.41,2023-04-06
loggedActivities,0.0,2023-04-06
veryActive,3.19,2023-04-06
moderatelyActive,0.5,2023-04-06
lightlyActive,1.71,2023-04-06
sedentaryActive,0.0,2023-04-06
total,4.54,2023-04-07
tracker,4.54,2023-04-07
loggedActivities,0.0,2023-04-07
veryActive,0.58,2023-04-07
moderatelyActive,0.16,2023-04-07
lightlyActive,3.8,2023-04-07
sedentaryActive,0.0,2023-04-07
total,2.31,2023-04-08
tracker,2.31,2023-04-08
loggedActivities,0.0,2023-04-08
veryActive,0.0,2023-04-08
moderatelyActive,0.0,2023-04-08
lightlyActive,2.31,2023-04-08
sedentaryActive,0.0,2023-04-08
total,2.29,2023-04-09
tracker,2.29,2023-04-09
loggedActivities,0.0,2023-04-09
veryActive,0.09,2023-04-09
moderatelyActive,0.24,2023-04-09
lightlyActive,1.96,2023-04-09
sedentaryActive,0.0,2023-04-09
total,3.39,2023-04-10
tracker,3.39,2023-04-10
loggedActivities,0.0,2023-04-10
veryActive,0.0,2023-04-10
moderatelyActive,0.0,2023-04-10
lightlyActive,3.38,2023-04-10
sedentaryActive,0.0,2023-04-10
total,1.28,2023-04-11
tracker,1.28,2023-04-11
loggedActivities,0.0,2023-04-11
veryActive,0.0,2023-04-11
moderatelyActive,0.0,2023-04-11
lightlyActive,1.28,2023-04-11
sedentaryActive,0.0,2023-04-11
total,1.08,2023-04-12
tracker,1.08,2023-04-12
loggedActivities,0.0,2023-04-12
veryActive,0.0,2023-04-12
moderatelyActive,0.0,2023-04-12
lightlyActive,1.08,2023-04-12
sedentaryActive,0.0,2023-04-12
total,3.53,2023-04-13
tracker,3.53,2023-04-13
loggedActivities,0.0,2023-04-13
veryActive,2.53,2023-04-13
moderatelyActive,0.04,2023-04-13
lightlyActive,0.95,2023-04-13
sedentaryActive,0.0,2023-04-13
total,1.9,2023-04-14
tracker,1.9,2023-04-14
loggedActivities,0.0,2023-04-14
veryActive,0.0,2023-04-14
moderatelyActive,0.0,2023-04-14
lightlyActive,1.89,2023-04-14
sedentaryActive,0.0,2023-04-14
total,1.56,2023-04-15
tracker,1.56,2023-04-15
loggedActivities,0.0,2023-04-15
veryActive,0.0,2023-04-15
moderatelyActive,0.0,2023-04-15
lightlyActive,1.55,2023-04-15
sedentaryActive,0.0,2023-04-15
total,2.68,2023-04-16
tracker,2.68,2023-04-16
loggedActivities,0.0,2023-04-16
veryActive,0.9,2023-04-16
moderatelyActive,0.65,2023-04-16
lightlyActive,1.13,2023-04-16
sedentaryActive,0.0,2023-04-16
total,1.42,2023-04-17
tracker,1.42,2023-04-17
loggedActivities,0.0,2023-04-17
veryActive,0.0,2023-04-17
moderatelyActive,0.0,2023-04-17
lightlyActive,1.42,2023-04-17
sedentaryActive,0.0,2023-04-17
total,2.4,2023-04-18
tracker,2.4,2023-04-18
loggedActivities,0.0,2023-04-18
veryActive,0.0,2023-04-18
moderatelyActive,0.0,2023-04-18
lightlyActive,2.4,2023-04-18
sedentaryActive,0.0,2023-04-18
total,2.34,2023-04-19
tracker,2.34,2023-04-19
loggedActivities,0.0,2023-04-19
veryActive,0.0,2023-04-19
moderatelyActive,0.0,2023-04-19
lightlyActive,2.33,2023-04-19
sedentaryActive,0.0,2023-04-19
total,3.25,2023-04-20
tracker,3.25,2023-04-20
loggedActivities,0.0,2023-04-20
veryActive,0.32,2023-04-20
moderatelyActive,0.47,2023-04-20
lightlyActive,2.45,2023-04-20
sedentaryActive,0.0,2023-04-20
total,2.37,2023-04-21
tracker,2.37,2023-04-21
loggedActivities,0.0,2023-04-21
veryActive,0.27,2023-04-21
moderatelyActive,0.62,2023-04-21
lightlyActive,1.47,2023-04-21
sedentaryActive,0.0,2023-04-21
total,10.17,2023-04-22
tracker,10.17,2023-04-22
loggedActivities,0.0,2023-04-22
veryActive,2.34,2023-04-22
moderatelyActive,4.42,2023-04-22
lightlyActive,3.4,2023-04-22
sedentaryActive,0.0,2023-04-22
total,0.11,2023-04-23
tracker,0.11,2023-04-23
loggedActivities,0.0,2023-04-23
veryActive,0.0,2023-04-23
moderatelyActive,0.0,2023-04-23
lightlyActive,0.11,2023-04-23
sedentaryActive,0.0,2023-04-23
total,8.18,2023-04-24
tracker,8.18,2023-04-24
loggedActivities,0.0,2023-04-24
veryActive,0.61,2023-04-24
moderatelyActive,1.62,2023-04-24
lightlyActive,5.93,2023-04-24
sedentaryActive,0.0,2023-04-24
total,7.03,2023-04-25
tracker,7.03,2023-04-25
loggedActivities,0.0,2023-04-25
veryActive,1.75,2023-04-25
moderatelyActive,1.51,2023-04-25
lightlyActive,3.75,2023-04-25
sedentaryActive,0.0,2023-04-25
total,3.43,2023-04-26
tracker,3.43,2023-04-26
loggedActivities,0.0,2023-04-26
veryActive,0.09,2023-04-26
moderatelyActive,0.26,2023-04-26
lightlyActive,3.08,2023-04-26
sedentaryActive,0.0,2023-04-26
total,2.33,2023-04-27
tracker,2.33,2023-04-27
loggedActivities,0.0,2023-04-27
veryActive,0.0,2023-04-27
moderatelyActive,0.0,2023-04-27
lightlyActive,2.33,2023-04-27
sedentaryActive,0.0,2023-04-27
total,4.44,2023-04-28
tracker,4.44,2023-04-28
loggedActivities,0.0,2023-04-28
veryActive,0.37,2023-04-28
moderatelyActive,2.05,2023-04-28
lightlyActive,2.01,2023-04-28
sedentaryActive,0.0,2023-04-28
total,1.29,2023-04-29
tracker,1.29,2023-04-29
loggedActivities,0.0,2023-04-29
veryActive,0.34,2023-04-29
moderatelyActive,0.16,2023-04-29
lightlyActive,0.78,2023-04-29
sedentaryActive,0.0,2023-04-29
total,0.0,2023-04-30
tracker,0.0,2023-04-30
loggedActivities,0.0,2023-04-30
veryActive,0.0,2023-04-30
moderatelyActive,0.0,2023-04-30
