caloriesOut,max,min,minutes,name,date
2010.0368400000002,118,30,1432,Out of Range,2023-04-01
42.12984,144,118,8,Fat Burn,2023-04-01
0.0,176,144,0,Cardio,2023-04-01
0.0,220,176,0,Peak,2023-04-01
1935.9400600000001,117,30,1421,Out of Range,2023-04-02
102.73768,143,117,19,Fat Burn,2023-04-02
0.0,176,143,0,Cardio,2023-04-02
0.0,220,176,0,Peak,2023-04-02
1786.08348,115,30,1439,Out of Range,2023-04-03
3.6956,142,115,1,Fat Burn,2023-04-03
0.0,175,142,0,Cardio,2023-04-03
0.0,220,175,0,Peak,2023-04-03
1837.35993,113,30,1440,Out of Range,2023-04-04
0.0,141,113,0,Fat Burn,2023-04-04
0.0,175,141,0,Cardio,2023-04-04
0.0,220,175,0,Peak,2023-04-04
2006.24885,113,30,1436,Out of Range,2023-04-05
16.814980000000002,140,113,4,Fat Burn,2023-04-05
0.0,175,140,0,Cardio,2023-04-05
0.0,220,175,0,Peak,2023-04-05
1828.1209299999996,113,30,1379,Out of Range,2023-04-06
359.30471000000017,140,113,60,Fat Burn,2023-04-06
7.02164,175,140,1,Cardio,2023-04-06
0.0,220,175,0,Peak,2023-04-06
2088.014,113,30,1419,Out of Range,2023-04-07
96.73232999999999,140,113,20,Fat Burn,2023-04-07
3.6956,175,140,1,Cardio,2023-04-07
0.0,220,175,0,Peak,2023-04-07
1916.35338,113,30,1430,Out of Range,2023-04-08
41.29833000000001,140,113,10,Fat Burn,2023-04-08
0.0,175,140,0,Cardio,2023-04-08
0.0,220,175,0,Peak,2023-04-08
1862.3052300000002,113,30,1439,Out of Range,2023-04-09
3.41843,140,113,1,Fat Burn,2023-04-09
0.0,175,140,0,Cardio,2023-04-09
0.0,220,175,0,Peak,2023-04-09
2009.3901100000003,113,30,1437,Out of Range,2023-04-10
9.60856,140,113,3,Fat Burn,2023-04-10
0.0,175,140,0,Cardio,2023-04-10
0.0,220,175,0,Peak,2023-04-10
1625.6944400000002,113,30,1432,Out of Range,2023-04-11
38.71141,140,113,8,Fat Burn,2023-04-11
0.0,175,140,0,Cardio,2023-04-11
0.0,220,175,0,Peak,2023-04-11
1665.7917,112,30,1440,Out of Range,2023-04-12
0.0,140,112,0,Fat Burn,2023-04-12
0.0,175,140,0,Cardio,2023-04-12
0.0,220,175,0,Peak,2023-04-12
1586.2439100000001,112,30,1375,Out of Range,2023-04-13
304.60983,140,112,49,Fat Burn,2023-04-13
122.8787,175,140,16,Cardio,2023-04-13
0.0,220,175,0,Peak,2023-04-13
1740.71999,113,30,1438,Out of Range,2023-04-14
8.86944,140,113,2,Fat Burn,2023-04-14
0.0,175,140,0,Cardio,2023-04-14
0.0,220,175,0,Peak,2023-04-14
1813.0613600000001,114,30,1440,Out of Range,2023-04-15
0.0,141,114,0,Fat Burn,2023-04-15
0.0,175,141,0,Cardio,2023-04-15
0.0,220,175,0,Peak,2023-04-15
1739.7037000000003,114,30,1306,Out of Range,2023-04-16
625.7574699999999,141,114,123,Fat Burn,2023-04-16
78.90105999999999,175,141,11,Cardio,2023-04-16
0.0,220,175,0,Peak,2023-04-16
1665.4221400000001,114,30,1430,Out of Range,2023-04-17
49.98299,141,114,10,Fat Burn,2023-04-17
0.0,175,141,0,Cardio,2023-04-17
0.0,220,175,0,Peak,2023-04-17
1827.7513700000002,114,30,1430,Out of Range,2023-04-18
53.03186,141,114,9,Fat Burn,2023-04-18
5.26623,175,141,1,Cardio,2023-04-18
0.0,220,175,0,Peak,2023-04-18
1800.2191500000001,114,30,1437,Out of Range,2023-04-19
9.79334,141,114,3,Fat Burn,2023-04-19
0.0,175,141,0,Cardio,2023-04-19
0.0,220,175,0,Peak,2023-04-19
1987.58607,114,30,1436,Out of Range,2023-04-20
19.032339999999998,141,114,4,Fat Burn,2023-04-20
0.0,175,141,0,Cardio,2023-04-20
0.0,220,175,0,Peak,2023-04-20
1959.8690700000002,113,30,1402,Out of Range,2023-04-21
168.42697,141,113,38,Fat Burn,2023-04-21
0.0,175,141,0,Cardio,2023-04-21
0.0,220,175,0,Peak,2023-04-21
2638.56601,113,30,1421,Out of Range,2023-04-22
95.90082000000001,140,113,18,Fat Burn,2023-04-22
5.72818,175,140,1,Cardio,2023-04-22
0.0,220,175,0,Peak,2023-04-22
1357.6710500000002,113,30,1440,Out of Range,2023-04-23
0.0,141,113,0,Fat Burn,2023-04-23
0.0,175,141,0,Cardio,2023-04-23
0.0,220,175,0,Peak,2023-04-23
2391.9771,113,30,1433,Out of Range,2023-04-24
32.890840000000004,141,113,7,Fat Burn,2023-04-24
0.0,175,141,0,Cardio,2023-04-24
0.0,220,175,0,Peak,2023-04-24
2373.68388,113,30,1416,Out of Range,2023-04-25
120.29178,141,113,24,Fat Burn,2023-04-25
0.0,175,141,0,Cardio,2023-04-25
0.0,220,175,0,Peak,2023-04-25
2060.48178,113,30,1439,Out of Range,2023-04-26
5.35862,141,113,1,Fat Burn,2023-04-26
0.0,175,141,0,Cardio,2023-04-26
0.0,220,175,0,Peak,2023-04-26
1870.71272,113,30,1408,Out of Range,2023-04-27
142.37299,141,113,30,Fat Burn,2023-04-27
9.79334,175,141,2,Cardio,2023-04-27
0.0,220,175,0,Peak,2023-04-27
2074.5250600000004,113,30,1432,Out of Range,2023-04-28
40.55921,140,113,8,Fat Burn,2023-04-28
0.0,175,140,0,Cardio,2023-04-28
0.0,220,175,0,Peak,2023-04-28
